Ramal;Tempo_Chamadas;QTD_Chamadas;Data
100;0.62;9;16-04-2025
101;10.40;6;16-04-2025
102;5.13;10;16-04-2025
103;0.67;6;16-04-2025
106;0.70;7;16-04-2025
107;12.45;77;16-04-2025
108;4.12;38;16-04-2025
110;0.07;3;16-04-2025
111;2.23;32;16-04-2025
112;6.90;78;16-04-2025
113;0.00;8;16-04-2025
114;4.37;22;16-04-2025
118;6.58;93;16-04-2025
120;0.12;21;16-04-2025
122;0.85;7;16-04-2025
123;1.85;47;16-04-2025
124;4.40;45;16-04-2025
125;0.50;11;16-04-2025
128;0.22;14;16-04-2025
129;0.60;28;16-04-2025
131;0.30;7;16-04-2025
136;6.05;62;16-04-2025
137;4.68;65;16-04-2025
139;5.27;30;16-04-2025
140;1.33;16;16-04-2025
141;8.32;98;16-04-2025
142;5.45;25;16-04-2025
143;3.52;102;16-04-2025